titleId,ordering,title,regionclanguage,types,attributes,isOriginalTitle
tt0000636,1,As You Like It,USc\N,imdbDisplay,\N,0
tt0000637,6,The Assassination of the Duke de Guise,USc\N,\N,\N,0
tt0000638,2,At the Crossroads of Life,USc\N,imdbDisplay,\N,0
tt0000639,2,At the French Ball,USc\N,imdbDisplay,\N,0
tt0000640,3,An Awful Moment,USc\N,imdbDisplay,\N,0
tt0000641,1,Balked at the Altar,USc\N,imdbDisplay,\N,0
tt0000642,2,The Bandit's Waterloo,USc\N,imdbDisplay,\N,0
tt0000643,1,Barbara Fritchie: The Story of a Patriotic American Woman,USc\N,\N,\N,0
tt0000643,2,Barbara Fritchie: The Story of a Forgotten Woman,USc\N,alternative,\N,0
tt0000643,4,Barbara Fritchie: A Story of a Loyal Woman,USc\N,alternative,\N,0
tt0000644,1,Behind the Scenes: Where All Is Not Gold That Glitters,USc\N,alternative,\N,0
tt0000644,3,Behind the Scenes,USc\N,imdbDisplay,\N,0
tt0000645,3,Betrayed by a Handprint,USc\N,imdbDisplay,\N,0
tt0000645,4,Betrayed by Hand Prints,USc\N,alternative,\N,0
tt0000648,2,The Black Viper,USc\N,imdbDisplay,\N,0
tt0000649,1,Bobby's Kodak,USc\N,imdbDisplay,\N,0
tt0000650,1,The Boston Tea Party,USc\N,imdbDisplay,\N,0
tt0000651,1,The Boy Detective or the Abductors Foiled,USc\N,imdbDisplay,\N,0
tt0000653,4,A Calamitous Elopement,USc\N,imdbDisplay,\N,0
tt0000654,1,The Call of the Wild,USc\N,imdbDisplay,\N,0
tt0000658,5,The Puppet's Nightmare,USc\N,\N,\N,0
tt0000659,1,Caught by Wireless,USc\N,imdbDisplay,\N,0
tt0000660,1,The Christmas Burglars,USc\N,imdbDisplay,\N,0
tt0000661,1,Humanity Through the Ages,USc\N,\N,\N,0
tt0000662,1,Classmates,USc\N,imdbDisplay,\N,0
tt0000663,2,The Clubman and the Tramp,USc\N,imdbDisplay,\N,0
tt0000665,1,Concealing a Burglar,USc\N,imdbDisplay,\N,0
tt0000668,7,The Count of Monte Cristo,USc\N,imdbDisplay,\N,0
tt0000669,2,Cupid's Pranks,USc\N,imdbDisplay,\N,0
tt0000672,2,The Devil,USc\N,imdbDisplay,\N,0
tt0000677,3,Ex-Convict No. 900,USc\N,imdbDisplay,\N,0
tt0000679,3,The Fairylogue and Radio-Plays,USc\N,imdbDisplay,\N,0
tt0000680,2,Falsely Accused!,USc\N,imdbDisplay,\N,0
tt0000681,1,A Famous Escape,USc\N,imdbDisplay,\N,0
tt0000682,9,A Fantasy,USc\N,imdbDisplay,\N,0
tt0000683,2,The Fatal Hour,USc\N,imdbDisplay,\N,0
tt0000684,2,Father Gets in the Game,USc\N,imdbDisplay,\N,0
tt0000685,1,The Feud and the Turkey,USc\N,imdbDisplay,\N,0
tt0000687,1,A Florida Feud: or Love in the Everglades,USc\N,imdbDisplay,\N,0
tt0000687,3,Florida Crackers,USc\N,alternative,\N,0
